model,threshold,f1,mcc,recall,precision,cost
LogisticRegression_Balanced,0.11,0.09884169884169884,0.1262449805743143,0.9411764705882353,0.05215973920130399,13630
LogisticRegression_Balanced,0.12,0.10207336523125997,0.1329614561182392,0.9411764705882353,0.05396290050590219,13220
LogisticRegression_Balanced,0.13,0.10561056105610561,0.13997968437883754,0.9411764705882353,0.055944055944055944,12800
LogisticRegression_Balanced,0.14,0.10893617021276596,0.1463021788652794,0.9411764705882353,0.057813911472448055,12430
LogisticRegression_Balanced,0.15000000000000002,0.11208406304728546,0.15207025847495234,0.9411764705882353,0.0595903165735568,12100
LogisticRegression_Balanced,0.16,0.11490125673249552,0.15707260781176663,0.9411764705882353,0.06118546845124283,11820
LogisticRegression_Balanced,0.17,0.1171003717472119,0.15852262974074852,0.9264705882352942,0.0625,11950
LogisticRegression_Balanced,0.18000000000000002,0.12080536912751678,0.16476010998318366,0.9264705882352942,0.06461538461538462,11620
LogisticRegression_Balanced,0.19,0.12389380530973451,0.16980739555594382,0.9264705882352942,0.06638566912539515,11360
LogisticRegression_Balanced,0.2,0.12637913741223672,0.1737771319461953,0.9264705882352942,0.06781485468245425,11160
LogisticRegression_Balanced,0.21000000000000002,0.13029989658738367,0.17988667121588592,0.9264705882352942,0.07007786429365963,10860
LogisticRegression_Balanced,0.22,0.13432835820895522,0.18598570948572737,0.9264705882352942,0.07241379310344828,10570
LogisticRegression_Balanced,0.23,0.13596491228070176,0.18604509983048378,0.9117647058823529,0.07345971563981042,10820
LogisticRegression_Balanced,0.24000000000000002,0.14220183486238533,0.19505497875187158,0.9117647058823529,0.07711442786069651,10420
LogisticRegression_Balanced,0.25,0.14553990610328638,0.19973899390704994,0.9117647058823529,0.07908163265306123,10220
LogisticRegression_Balanced,0.26,0.14903846153846154,0.20455400995194523,0.9117647058823529,0.08115183246073299,10020
LogisticRegression_Balanced,0.27,0.15327564894932014,0.21026579570649848,0.9117647058823529,0.08367071524966262,9790
LogisticRegression_Balanced,0.28,0.15443037974683543,0.20939162832021962,0.8970588235294118,0.08448753462603878,10110
LogisticRegression_Balanced,0.29000000000000004,0.15604681404421328,0.20912640498031987,0.8823529411764706,0.08559201141226819,10410
LogisticRegression_Balanced,0.3,0.16042780748663102,0.214793665153461,0.8823529411764706,0.08823529411764706,10200
LogisticRegression_Balanced,0.31,0.162534435261708,0.21507799491001653,0.8676470588235294,0.08966565349544073,10490
LogisticRegression_Balanced,0.32,0.16361071932299012,0.21404928536890222,0.8529411764705882,0.0904836193447738,10830
LogisticRegression_Balanced,0.33,0.16642754662840745,0.21755802386637724,0.8529411764705882,0.09220985691573927,10710
LogisticRegression_Balanced,0.34,0.16789396170839468,0.21698046374390487,0.8382352941176471,0.09328968903436989,11040
LogisticRegression_Balanced,0.35000000000000003,0.1743119266055046,0.22474567297373585,0.8382352941176471,0.09726962457337884,10790
LogisticRegression_Balanced,0.36000000000000004,0.17729393468118196,0.22828766487955404,0.8382352941176471,0.09913043478260869,10680
